province,generation,registered_voters
the Philippines,Baby Boomers and older,11473746
the Philippines,Generation X,16783541
the Philippines,Generation Z,16654142
the Philippines,Millennials (Gen Y),23520536
Abra,Baby Boomers and older,36685
Abra,Generation X,42965
Abra,Generation Z,47313
Abra,Millennials (Gen Y),61994
Agusan Del Norte  ,Baby Boomers and older,83057
Agusan Del Norte  ,Generation X,115496
Agusan Del Norte  ,Generation Z,127129
Agusan Del Norte  ,Millennials (Gen Y),167175
Agusan Del Sur   ,Baby Boomers and older,68135
Agusan Del Sur   ,Generation X,103424
Agusan Del Sur   ,Generation Z,118005
Agusan Del Sur   ,Millennials (Gen Y),157078
Aklan,Baby Boomers and older,77178
Aklan,Generation X,98587
Aklan,Generation Z,100297
Aklan,Millennials (Gen Y),138828
Albay  ,Baby Boomers and older,157566
Albay  ,Generation X,220241
Albay  ,Generation Z,257167
Albay  ,Millennials (Gen Y),305140
Antique,Baby Boomers and older,75547
Antique,Generation X,93799
Antique,Generation Z,101532
Antique,Millennials (Gen Y),128675
Apayao  ,Baby Boomers and older,14661
Apayao  ,Generation X,20170
Apayao  ,Generation Z,21232
Apayao  ,Millennials (Gen Y),27378
Aurora,Baby Boomers and older,26112
Aurora,Generation X,38868
Aurora,Generation Z,38747
Aurora,Millennials (Gen Y),53513
Basilan,Baby Boomers and older,43707
Basilan,Generation X,68855
Basilan,Generation Z,88359
Basilan,Millennials (Gen Y),114680
Bataan ,Baby Boomers and older,97161
Bataan ,Generation X,146133
Bataan ,Generation Z,139407
Bataan ,Millennials (Gen Y),203343
Batanes,Baby Boomers and older,2818
Batanes,Generation X,3676
Batanes,Generation Z,2687
Batanes,Millennials (Gen Y),4474
Batangas  ,Baby Boomers and older,305801
Batangas  ,Generation X,485170
Batangas  ,Generation Z,482960
Batangas  ,Millennials (Gen Y),684863
Benguet ,Baby Boomers and older,74484
Benguet ,Generation X,107240
Benguet ,Generation Z,86777
Benguet ,Millennials (Gen Y),147644
Biliran  ,Baby Boomers and older,23253
Biliran  ,Generation X,28793
Biliran  ,Generation Z,33020
Biliran  ,Millennials (Gen Y),39125
Bohol ,Baby Boomers and older,189829
Bohol ,Generation X,230609
Bohol ,Generation Z,252545
Bohol ,Millennials (Gen Y),308581
Bukidnon ,Baby Boomers and older,143071
Bukidnon ,Generation X,231045
Bukidnon ,Generation Z,262714
Bukidnon ,Millennials (Gen Y),358906
Bulacan ,Baby Boomers and older,353434
Bulacan ,Generation X,568708
Bulacan ,Generation Z,501319
Bulacan ,Millennials (Gen Y),749565
Cagayan  ,Baby Boomers and older,150032
Cagayan  ,Generation X,196764
Cagayan  ,Generation Z,183138
Cagayan  ,Millennials (Gen Y),256060
Camarines Norte  ,Baby Boomers and older,65039
Camarines Norte  ,Generation X,94796
Camarines Norte  ,Generation Z,102987
Camarines Norte  ,Millennials (Gen Y),133761
Camarines Sur  ,Baby Boomers and older,217181
Camarines Sur  ,Generation X,306965
Camarines Sur  ,Generation Z,378291
Camarines Sur  ,Millennials (Gen Y),441625
Camiguin ,Baby Boomers and older,12632
Camiguin ,Generation X,16030
Camiguin ,Generation Z,17024
Camiguin ,Millennials (Gen Y),20871
Capiz,Baby Boomers and older,107875
Capiz,Generation X,129867
Capiz,Generation Z,132374
Capiz,Millennials (Gen Y),169343
Catanduanes  ,Baby Boomers and older,34533
Catanduanes  ,Generation X,44895
Catanduanes  ,Generation Z,55865
Catanduanes  ,Millennials (Gen Y),65511
Cavite ,Baby Boomers and older,387778
Cavite ,Generation X,640622
Cavite ,Generation Z,550317
Cavite ,Millennials (Gen Y),868645
Cebu ,Baby Boomers and older,537197
Cebu ,Generation X,815161
Cebu ,Generation Z,837952
Cebu ,Millennials (Gen Y),1217470
Cotabato,Baby Boomers and older,124151
Cotabato,Generation X,195468
