Municipality,Province,Gender,Registered voters (2019),Registered voters (2022),Change,Percentage change
Aborlan,Palawan,FEMALE,"12,243.0","14,378","2,135.0",17.44
Abra De Ilog,Occidental Mindoro,FEMALE,"9,266.0","9,840",574.0,6.19
Abucay,Bataan,FEMALE,"14,479.0","14,514",35.0,0.24
Abulug,Cagayan,FEMALE,"9,796.0","10,316",520.0,5.31
Abuyog,Leyte,FEMALE,"18,184.0","19,874","1,690.0",9.29
Adams,Ilocos Norte,FEMALE,791.0,946,155.0,19.6
Agdangan,Quezon,FEMALE,"4,617.0","4,726",109.0,2.36
Aglipay,Quirino,FEMALE,"9,105.0","9,085",-20.0,-0.22
Agno,Pangasinan,FEMALE,"9,552.0","10,141",589.0,6.17
Agoncillo,Batangas,FEMALE,"12,684.0","13,287",603.0,4.75
Agoo,La Union,FEMALE,"21,266.0","22,036",770.0,3.62
Aguilar,Pangasinan,FEMALE,"13,909.0","14,745",836.0,6.01
Aguinaldo,Ifugao,FEMALE,"5,576.0","5,858",282.0,5.06
Agutaya,Palawan,FEMALE,"3,624.0","3,772",148.0,4.08
Ajuy,Iloilo,FEMALE,"16,839.0","17,704",865.0,5.14
Akbar,Basilan,FEMALE,"3,240.0","3,856",616.0,19.01
Al-Barka,Basilan,FEMALE,"4,790.0","6,178","1,388.0",28.98
Alabat,Quezon,FEMALE,"5,195.0","5,768",573.0,11.03
Alabel,Sarangani,FEMALE,"25,447.0","26,613","1,166.0",4.58
Alamada,Cotabato (North Cotabato),FEMALE,"18,245.0","19,795","1,550.0",8.5
Alaminos,Laguna,FEMALE,"15,640.0","16,905","1,265.0",8.09
Alaminos City,Pangasinan,FEMALE,"29,333.0","32,012","2,679.0",9.13
Alangalang,Leyte,FEMALE,"18,256.0","19,263","1,007.0",5.52
Albuera,Leyte,FEMALE,"14,177.0","15,020",843.0,5.95
Alburquerque,Bohol,FEMALE,"3,696.0","3,905",209.0,5.65
Alcala,Cagayan,FEMALE,"12,252.0","11,933",-319.0,-2.6
Alcala,Pangasinan,FEMALE,"14,705.0","15,458",753.0,5.12
Alcantara,Cebu,FEMALE,"5,547.0","5,861",314.0,5.66
Alcantara,Romblon,FEMALE,"5,741.0","6,009",268.0,4.67
Alcoy,Cebu,FEMALE,"6,415.0","7,027",612.0,9.54
Alegria,Cebu,FEMALE,"8,549.0","8,810",261.0,3.05
Alegria,Surigao Del Norte,FEMALE,"5,971.0","6,638",667.0,11.17
Aleosan,Cotabato (North Cotabato),FEMALE,"11,039.0","10,653",-386.0,-3.5
Alfonso,Cavite,FEMALE,"18,514.0","18,947",433.0,2.34
Alfonso Castaneda,Nueva Vizcaya,FEMALE,"2,819.0","2,865",46.0,1.63
Alfonso Lista (Potia),Ifugao,FEMALE,"8,742.0","9,929","1,187.0",13.58
Aliaga,Nueva Ecija,FEMALE,"22,274.0","24,774","2,500.0",11.22
Alicia,Bohol,FEMALE,"7,968.0","8,565",597.0,7.49
Alicia,Isabela,FEMALE,"22,454.0","24,112","1,658.0",7.38
Alicia,Zamboanga Sibugay,FEMALE,"12,480.0","12,307",-173.0,-1.39
Alilem,Ilocos Sur,FEMALE,"2,287.0","2,390",103.0,4.5
Alimodian,Iloilo,FEMALE,"12,388.0","12,694",306.0,2.47
Alitagtag,Batangas,FEMALE,"9,046.0","9,594",548.0,6.06
Allacapan,Cagayan,FEMALE,"10,900.0","10,626",-274.0,-2.51
Allen,Northern Samar,FEMALE,"10,107.0","10,115",8.0,0.08
Almagro,Samar (Western Samar),FEMALE,"4,924.0","4,855",-69.0,-1.4
Almeria,Biliran,FEMALE,"6,291.0","6,427",136.0,2.16
Aloguinsan,Cebu,FEMALE,"10,970.0","10,699",-271.0,-2.47
Aloran,Misamis Occidental,FEMALE,"10,686.0","10,621",-65.0,-0.61
Altavas,Aklan,FEMALE,"8,902.0","9,050",148.0,1.66
Alubijid,Misamis Oriental,FEMALE,"10,322.0","10,720",398.0,3.86
Amadeo,Cavite,FEMALE,"13,531.0","14,585","1,054.0",7.79
Amai Manabilang (Bumbaran),Lanao Del Sur,FEMALE,"2,535.0","2,782",247.0,9.74
Ambaguio,Nueva Vizcaya,FEMALE,"3,197.0","3,470",273.0,8.54
Amlan (Ayuquitan),Negros Oriental,FEMALE,"8,739.0","9,347",608.0,6.96
Ampatuan,Maguindanao,FEMALE,"7,080.0","8,167","1,087.0",15.35
Amulung,Cagayan,FEMALE,"15,248.0","15,868",620.0,4.07
Anahawan,Southern Leyte,FEMALE,"3,072.0","3,046",-26.0,-0.85
Anao,Tarlac,FEMALE,"4,284.0","4,599",315.0,7.35
Anda,Bohol,FEMALE,"6,695.0","6,940",245.0,3.66
Anda,Pangasinan,FEMALE,"13,295.0","13,586",291.0,2.19
Angadanan,Isabela,FEMALE,"13,974.0","14,625",651.0,4.66
Angat,Bulacan,FEMALE,"21,086.0","21,889",803.0,3.81
Angeles City,Pampanga,FEMALE,"105,838.0","109,787","3,949.0",3.73
Angono,Rizal,FEMALE,"41,166.0","38,269","-2,897.0",-7.04
Anilao,Iloilo,FEMALE,"9,241.0","9,559",318.0,3.44
Anini-Y,Antique,FEMALE,"6,936.0","7,242",306.0,4.41
Antequera,Bohol,FEMALE,"4,958.0","5,127",169.0,3.41
Antipas,Cotabato (North Cotabato),FEMALE,"8,726.0","8,671",-55.0,-0.63
Apalit,Pampanga,FEMALE,"30,017.0","32,272","2,255.0",7.51
Aparri,Cagayan,FEMALE,"19,024.0","19,750",726.0,3.82
Araceli,Palawan,FEMALE,"4,427.0","4,735",308.0,6.96
Arakan,Cotabato (North Cotabato),FEMALE,"13,798.0","14,692",894.0,6.48
Arayat,Pampanga,FEMALE,"38,761.0","38,810",49.0,0.13
Argao,Cebu,FEMALE,"25,218.0","28,031","2,813.0",11.15
Aringay,La Union,FEMALE,"15,544.0","16,384",840.0,5.4
Aritao,Nueva Vizcaya,FEMALE,"12,000.0","11,939",-61.0,-0.51
