Municipality,Province,Gender,Registered voters (2019),Registered voters (2022),Change,Percentage change
Aborlan,Palawan,FEMALE,12243.0,14378,2135.0,17.44
Aborlan,Palawan,MALE,12592.0,15065,2473.0,19.64
Abra De Ilog,Occidental Mindoro,FEMALE,9266.0,9840,574.0,6.19
Abra De Ilog,Occidental Mindoro,MALE,9631.0,10333,702.0,7.29
Abucay,Bataan,FEMALE,14479.0,14514,35.0,0.24
Abucay,Bataan,MALE,13278.0,13628,350.0,2.64
Abulug,Cagayan,FEMALE,9796.0,10316,520.0,5.31
Abulug,Cagayan,MALE,9322.0,9992,670.0,7.19
Abuyog,Leyte,FEMALE,18184.0,19874,1690.0,9.29
Abuyog,Leyte,MALE,18930.0,20997,2067.0,10.92
Adams,Ilocos Norte,FEMALE,791.0,946,155.0,19.6
Adams,Ilocos Norte,MALE,914.0,1157,243.0,26.59
Agdangan,Quezon,FEMALE,4617.0,4726,109.0,2.36
Agdangan,Quezon,MALE,4463.0,4653,190.0,4.26
Aglipay,Quirino,FEMALE,9105.0,9085,-20.0,-0.22
Aglipay,Quirino,MALE,9584.0,9892,308.0,3.21
Agno,Pangasinan,FEMALE,9552.0,10141,589.0,6.17
Agno,Pangasinan,MALE,9535.0,10227,692.0,7.26
Agoncillo,Batangas,FEMALE,12684.0,13287,603.0,4.75
Agoncillo,Batangas,MALE,13072.0,13775,703.0,5.38
Agoo,La Union,FEMALE,21266.0,22036,770.0,3.62
Agoo,La Union,MALE,20271.0,22022,1751.0,8.64
Aguilar,Pangasinan,FEMALE,13909.0,14745,836.0,6.01
Aguilar,Pangasinan,MALE,13498.0,14655,1157.0,8.57
Aguinaldo,Ifugao,FEMALE,5576.0,5858,282.0,5.06
Aguinaldo,Ifugao,MALE,6075.0,6414,339.0,5.58
Agutaya,Palawan,FEMALE,3624.0,3772,148.0,4.08
Agutaya,Palawan,MALE,4003.0,3955,-48.0,-1.2
Ajuy,Iloilo,FEMALE,16839.0,17704,865.0,5.14
Ajuy,Iloilo,MALE,16639.0,17544,905.0,5.44
Akbar,Basilan,FEMALE,3240.0,3856,616.0,19.01
Akbar,Basilan,MALE,2943.0,3658,715.0,24.29
Al-Barka,Basilan,FEMALE,4790.0,6178,1388.0,28.98
Al-Barka,Basilan,MALE,4284.0,5797,1513.0,35.32
Alabat,Quezon,FEMALE,5195.0,5768,573.0,11.03
Alabat,Quezon,MALE,5183.0,5943,760.0,14.66
Alabel,Sarangani,FEMALE,25447.0,26613,1166.0,4.58
Alabel,Sarangani,MALE,26648.0,27823,1175.0,4.41
Alamada,Cotabato (North Cotabato),FEMALE,18245.0,19795,1550.0,8.5
Alamada,Cotabato (North Cotabato),MALE,19835.0,21778,1943.0,9.8
Alaminos,Laguna,FEMALE,15640.0,16905,1265.0,8.09
Alaminos,Laguna,MALE,13996.0,15466,1470.0,10.5
Alaminos City,Pangasinan,FEMALE,29333.0,32012,2679.0,9.13
