Province,Gender,Registered voters (2019),Registered voters (2022),Change,Percentage change
Abra,FEMALE,86554.0,88270,1716.0,1.98
Abra,MALE,90504.0,94426,3922.0,4.33
Agusan Del Norte,FEMALE,238274.0,249364,11090.0,4.65
Agusan Del Norte,MALE,239385.0,252752,13367.0,5.58
Agusan Del Sur,FEMALE,207482.0,216091,8609.0,4.15
Agusan Del Sur,MALE,215748.0,226537,10789.0,5.0
Aklan,FEMALE,195941.0,204555,8614.0,4.4
Aklan,MALE,194419.0,205383,10964.0,5.64
Albay,FEMALE,434563.0,457229,22666.0,5.22
Albay,MALE,405937.0,432919,26982.0,6.65
Antique,FEMALE,186975.0,195267,8292.0,4.43
Antique,MALE,184269.0,192731,8462.0,4.59
Apayao,FEMALE,36118.0,37831,1713.0,4.74
Apayao,MALE,38625.0,40623,1998.0,5.17
Aurora,FEMALE,72778.0,77031,4253.0,5.84
Aurora,MALE,72839.0,77657,4818.0,6.61
Basilan,FEMALE,133169.0,149685,16516.0,12.4
Basilan,MALE,129848.0,147637,17789.0,13.7
Bataan,FEMALE,283257.0,292738,9481.0,3.35
Bataan,MALE,262250.0,273741,11491.0,4.38
Batanes,FEMALE,6245.0,6886,641.0,10.26
Batanes,MALE,5959.0,6934,975.0,16.36
Batangas,FEMALE,889790.0,940923,51133.0,5.75
Batangas,MALE,827502.0,878148,50646.0,6.12
Benguet,FEMALE,202286.0,212341,10055.0,4.97
Benguet,MALE,188872.0,199633,10761.0,5.7
Biliran,FEMALE,61401.0,62220,819.0,1.33
Biliran,MALE,60354.0,61012,658.0,1.09
Bohol,FEMALE,455091.0,479006,23915.0,5.25
Bohol,MALE,443591.0,470785,27194.0,6.13
Bukidnon,FEMALE,429126.0,460936,31810.0,7.41
Bukidnon,MALE,446508.0,483902,37394.0,8.37
Bulacan,FEMALE,990890.0,1061860,70970.0,7.16
Bulacan,MALE,872706.0,945663,72957.0,8.36
Cagayan,FEMALE,372287.0,383342,11055.0,2.97
Cagayan,MALE,362713.0,382676,19963.0,5.5
