Municipality,Province,Gender,Registered voters (2019),Registered voters (2022),Change,Percentage change
Aborlan,Palawan,MALE,"12,592.0","15,065","2,473.0",19.64
Abra De Ilog,Occidental Mindoro,MALE,"9,631.0","10,333",702.0,7.29
Abucay,Bataan,MALE,"13,278.0","13,628",350.0,2.64
Abulug,Cagayan,MALE,"9,322.0","9,992",670.0,7.19
Abuyog,Leyte,MALE,"18,930.0","20,997","2,067.0",10.92
Adams,Ilocos Norte,MALE,914.0,"1,157",243.0,26.59
Agdangan,Quezon,MALE,"4,463.0","4,653",190.0,4.26
Aglipay,Quirino,MALE,"9,584.0","9,892",308.0,3.21
Agno,Pangasinan,MALE,"9,535.0","10,227",692.0,7.26
Agoncillo,Batangas,MALE,"13,072.0","13,775",703.0,5.38
Agoo,La Union,MALE,"20,271.0","22,022","1,751.0",8.64
Aguilar,Pangasinan,MALE,"13,498.0","14,655","1,157.0",8.57
Aguinaldo,Ifugao,MALE,"6,075.0","6,414",339.0,5.58
Agutaya,Palawan,MALE,"4,003.0","3,955",-48.0,-1.2
Ajuy,Iloilo,MALE,"16,639.0","17,544",905.0,5.44
Akbar,Basilan,MALE,"2,943.0","3,658",715.0,24.29
Al-Barka,Basilan,MALE,"4,284.0","5,797","1,513.0",35.32
Alabat,Quezon,MALE,"5,183.0","5,943",760.0,14.66
Alabel,Sarangani,MALE,"26,648.0","27,823","1,175.0",4.41
Alamada,Cotabato (North Cotabato),MALE,"19,835.0","21,778","1,943.0",9.8
Alaminos,Laguna,MALE,"13,996.0","15,466","1,470.0",10.5
Alaminos City,Pangasinan,MALE,"27,530.0","30,534","3,004.0",10.91
Alangalang,Leyte,MALE,"18,710.0","19,611",901.0,4.82
Albuera,Leyte,MALE,"13,800.0","14,582",782.0,5.67
Alburquerque,Bohol,MALE,"3,697.0","3,870",173.0,4.68
Alcala,Cagayan,MALE,"12,255.0","11,981",-274.0,-2.24
Alcala,Pangasinan,MALE,"14,429.0","15,490","1,061.0",7.35
Alcantara,Cebu,MALE,"5,681.0","5,992",311.0,5.47
Alcantara,Romblon,MALE,"5,433.0","5,760",327.0,6.02
Alcoy,Cebu,MALE,"6,468.0","7,139",671.0,10.37
Alegria,Cebu,MALE,"8,466.0","8,763",297.0,3.51
Alegria,Surigao Del Norte,MALE,"6,111.0","7,453","1,342.0",21.96
Aleosan,Cotabato (North Cotabato),MALE,"12,286.0","11,804",-482.0,-3.92
Alfonso,Cavite,MALE,"17,556.0","17,571",15.0,0.09
Alfonso Castaneda,Nueva Vizcaya,MALE,"3,211.0","3,276",65.0,2.02
Alfonso Lista (Potia),Ifugao,MALE,"9,642.0","10,839","1,197.0",12.41
Aliaga,Nueva Ecija,MALE,"22,009.0","24,860","2,851.0",12.95
