province,age,registered_2022
Abra,18,4816
Abra,19,4779
Abra,20,4705
Abra,21,4984
Abra,22,4672
Abra,23,4501
Abra,24,4568
Abra,25,4553
Abra,26,4458
Abra,27,4641
Abra,28,4626
Abra,29,4682
Abra,30,4499
Abra,31,4378
Abra,32,4068
Abra,33,3981
Abra,34,4126
Abra,35,3722
Abra,36,3651
Abra,37,3505
Abra,38,3499
Abra,39,3629
Abra,40,3584
Abra,41,3197
Abra,42,3377
Abra,43,3169
Abra,44,3065
Abra,45,2934
Abra,46,2684
Abra,47,2561
Abra,48,2594
Abra,49,2658
Abra,50,2515
Abra,51,2531
Abra,52,2672
Abra,53,2623
Abra,54,2413
Abra,55,2339
Abra,56,2361
Abra,57,2356
Abra,58,2331
Abra,59,2260
Abra,60_and_over,33429
Agusan Del Norte,18,12135
Agusan Del Norte,19,13684
Agusan Del Norte,20,14319
Agusan Del Norte,21,15302
Agusan Del Norte,22,15066
Agusan Del Norte,23,13551
Agusan Del Norte,24,13959
Agusan Del Norte,25,13018
Agusan Del Norte,26,13293
Agusan Del Norte,27,12922
Agusan Del Norte,28,12880
Agusan Del Norte,29,13049
Agusan Del Norte,30,12695
Agusan Del Norte,31,12859
Agusan Del Norte,32,12122
Agusan Del Norte,33,12193
Agusan Del Norte,34,11774
Agusan Del Norte,35,10651
Agusan Del Norte,36,9778
Agusan Del Norte,37,9697
Agusan Del Norte,38,9660
Agusan Del Norte,39,9366
Agusan Del Norte,40,8962
Agusan Del Norte,41,8823
Agusan Del Norte,42,9096
Agusan Del Norte,43,8499
Agusan Del Norte,44,8464
Agusan Del Norte,45,8022
Agusan Del Norte,46,7799
Agusan Del Norte,47,7415
Agusan Del Norte,48,7758
Agusan Del Norte,49,7672
Agusan Del Norte,50,7206
Agusan Del Norte,51,7222
Agusan Del Norte,52,7675
Agusan Del Norte,53,7497
Agusan Del Norte,54,6691
Agusan Del Norte,55,6797
Agusan Del Norte,56,6432
Agusan Del Norte,57,6568
Agusan Del Norte,58,6242
Agusan Del Norte,59,6417
Agusan Del Norte,60_and_over,76886
Agusan Del Sur,18,9941
Agusan Del Sur,19,12000
Agusan Del Sur,20,12743
Agusan Del Sur,21,13534
Agusan Del Sur,22,12593
Agusan Del Sur,23,11304
Agusan Del Sur,24,11969
Agusan Del Sur,25,11754
Agusan Del Sur,26,11857
Agusan Del Sur,27,12301
Agusan Del Sur,28,12241
Agusan Del Sur,29,11921
Agusan Del Sur,30,11826
Agusan Del Sur,31,11929
Agusan Del Sur,32,10890
Agusan Del Sur,33,11145
Agusan Del Sur,34,10896
Agusan Del Sur,35,9987
Agusan Del Sur,36,9290
Agusan Del Sur,37,9148
Agusan Del Sur,38,8834
Agusan Del Sur,39,8801
Agusan Del Sur,40,7908
Agusan Del Sur,41,7755
Agusan Del Sur,42,8056
Agusan Del Sur,43,7614
Agusan Del Sur,44,7434
Agusan Del Sur,45,6979
Agusan Del Sur,46,7026
Agusan Del Sur,47,7047
Agusan Del Sur,48,6687
Agusan Del Sur,49,7284
Agusan Del Sur,50,6396
Agusan Del Sur,51,6298
Agusan Del Sur,52,6969
Agusan Del Sur,53,6677
Agusan Del Sur,54,5833
Agusan Del Sur,55,5886
Agusan Del Sur,56,5530
Agusan Del Sur,57,5851
Agusan Del Sur,58,5527
Agusan Del Sur,59,5516
Agusan Del Sur,60_and_over,61451
Aklan,18,9084
Aklan,19,10346
Aklan,20,10578
Aklan,21,11208
Aklan,22,10836
Aklan,23,10442
Aklan,24,10893
Aklan,25,10217
Aklan,26,10340
Aklan,27,10477
Aklan,28,10279
Aklan,29,10079
Aklan,30,9950
Aklan,31,9891
Aklan,32,9515
Aklan,33,9098
Aklan,34,9027
Aklan,35,8581
Aklan,36,8235
Aklan,37,8144
Aklan,38,8052
Aklan,39,8094
Aklan,40,7927
Aklan,41,7993
Aklan,42,7955
Aklan,43,7315
Aklan,44,6940
Aklan,45,6802
Aklan,46,6495
Aklan,47,6058
Aklan,48,5940
Aklan,49,6404
Aklan,50,5957
Aklan,51,5864
Aklan,52,6063
Aklan,53,6041
Aklan,54,5520
Aklan,55,5513
Aklan,56,5283
Aklan,57,5256
Aklan,58,5048
Aklan,59,5045
Aklan,60_and_over,71153
Albay,18,22881
Albay,19,25806
Albay,20,25946
Albay,21,27974
Albay,22,26483
Albay,23,24359
Albay,24,25430
Albay,25,22941
Albay,26,23257
Albay,27,22742
Albay,28,22798
Albay,29,22131
Albay,30,21434
Albay,31,20657
Albay,32,19231
Albay,33,18445
Albay,34,18917
Albay,35,18113
Albay,36,17408
Albay,37,16474
Albay,38,16498
Albay,39,16840
Albay,40,16105
Albay,41,16494
Albay,42,16650
Albay,43,16020
Albay,44,14893
Albay,45,14882
Albay,46,14487
Albay,47,13549
Albay,48,13168
Albay,49,13878
Albay,50,12713
Albay,51,13196
Albay,52,13565
Albay,53,13118
Albay,54,12183
Albay,55,12341
Albay,56,11499
Albay,57,11622
Albay,58,10915
Albay,59,10778
Albay,60_and_over,141327
Antique,18,8239
Antique,19,10187
Antique,20,10913
Antique,21,11642
Antique,22,11407
Antique,23,10067
Antique,24,10471
Antique,25,9593
Antique,26,9894
Antique,27,9541
Antique,28,9516
Antique,29,9155
Antique,30,9083
Antique,31,8948
Antique,32,8384
Antique,33,8482
Antique,34,8172
Antique,35,8173
Antique,36,7216
Antique,37,7275
Antique,38,7048
Antique,39,7418
Antique,40,6892
Antique,41,6942
Antique,42,7003
Antique,43,6632
Antique,44,6483
Antique,45,6169
Antique,46,6084
Antique,47,5932
Antique,48,5943
Antique,49,6120
Antique,50,5537
Antique,51,5642
Antique,52,5855
Antique,53,5755
Antique,54,5569
Antique,55,5154
Antique,56,5199
Antique,57,5179
Antique,58,5152
Antique,59,5171
Antique,60_and_over,68761
Apayao,18,1510
Apayao,19,1777
Apayao,20,1828
Apayao,21,2175
Apayao,22,2116
Apayao,23,1933
Apayao,24,2158
Apayao,25,2015
Apayao,26,2028
Apayao,27,2214
Apayao,28,1920
Apayao,29,1974
Apayao,30,2023
Apayao,31,1942
Apayao,32,1790
Apayao,33,1704
Apayao,34,1666
Apayao,35,1580
Apayao,36,1510
Apayao,37,1568
Apayao,38,1547
Apayao,39,1537
Apayao,40,1403
Apayao,41,1423
Apayao,42,1550
Apayao,43,1417
Apayao,44,1398
Apayao,45,1397
Apayao,46,1315
Apayao,47,1346
Apayao,48,1249
Apayao,49,1415
Apayao,50,1212
Apayao,51,1175
Apayao,52,1305
Apayao,53,1175
Apayao,54,1054
Apayao,55,1035
Apayao,56,1019
Apayao,57,1121
Apayao,58,1062
Apayao,59,1043
Apayao,60_and_over,12825
Aurora,18,3600
Aurora,19,4047
Aurora,20,4315
Aurora,21,4630
Aurora,22,4408
Aurora,23,4140
Aurora,24,4178
Aurora,25,4026
Aurora,26,4085
Aurora,27,4057
Aurora,28,4094
Aurora,29,3972
Aurora,30,3747
Aurora,31,3765
Aurora,32,3774
Aurora,33,3456
Aurora,34,3493
Aurora,35,3092
Aurora,36,3198
Aurora,37,3020
Aurora,38,2948
Aurora,39,2943
Aurora,40,2736
Aurora,41,2840
Aurora,42,2815
Aurora,43,2783
Aurora,44,2651
Aurora,45,2611
Aurora,46,2481
Aurora,47,2539
Aurora,48,2454
Aurora,49,2622
Aurora,50,2382
Aurora,51,2371
Aurora,52,2540
Aurora,53,2336
Aurora,54,2206
Aurora,55,2090
Aurora,56,2110
Aurora,57,2049
Aurora,58,1997
Aurora,59,1969
Aurora,60_and_over,23118
Basilan,18,7296
Basilan,19,8714
Basilan,20,8053
Basilan,21,9469
Basilan,22,9152
Basilan,23,7922
Basilan,24,8806
Basilan,25,8546
