province,generation,registered_2022
Abra,Baby Boomers and older,33429
Abra,Generation X,40897
Abra,Generation Z,46677
Abra,Millennials (Gen Y),61693
Agusan Del Norte,Baby Boomers and older,76886
Agusan Del Norte,Generation X,115877
Agusan Del Norte,Generation Z,137249
Agusan Del Norte,Millennials (Gen Y),172104
Agusan Del Sur,Baby Boomers and older,61451
Agusan Del Sur,Generation X,102940
Agusan Del Sur,Generation Z,119996
Agusan Del Sur,Millennials (Gen Y),158241
Aklan,Baby Boomers and older,71153
Aklan,Generation X,94229
Aklan,Generation Z,104421
Aklan,Millennials (Gen Y),140135
Albay,Baby Boomers and older,141327
Albay,Generation X,206787
Albay,Generation Z,247819
Albay,Millennials (Gen Y),294215
Antique,Baby Boomers and older,68761
Antique,Generation X,90944
Antique,Generation Z,101954
Antique,Millennials (Gen Y),126339
Apayao,Baby Boomers and older,12825
Apayao,Generation X,19321
Apayao,Generation Z,19754
Apayao,Millennials (Gen Y),26554
Aurora,Baby Boomers and older,23118
Aurora,Generation X,37408
Aurora,Generation Z,41486
Aurora,Millennials (Gen Y),52676
Basilan,Baby Boomers and older,37721
Basilan,Generation X,64387
Basilan,Generation Z,85997
Basilan,Millennials (Gen Y),109217
Bataan,Baby Boomers and older,85765
Bataan,Generation X,137623
Bataan,Generation Z,142973
Bataan,Millennials (Gen Y),200118
Batanes,Baby Boomers and older,2552
Batanes,Generation X,3519
Batanes,Generation Z,3315
Batanes,Millennials (Gen Y),4434
Batangas,Baby Boomers and older,268007
Batangas,Generation X,441096
Batangas,Generation Z,464617
Batangas,Millennials (Gen Y),645351
Benguet,Baby Boomers and older,65374
Benguet,Generation X,103278
Benguet,Generation Z,93238
Benguet,Millennials (Gen Y),150084
Biliran,Baby Boomers and older,21337
Biliran,Generation X,28674
Biliran,Generation Z,34437
Biliran,Millennials (Gen Y),38784
Bohol,Baby Boomers and older,174778
Bohol,Generation X,222893
Bohol,Generation Z,247577
Bohol,Millennials (Gen Y),304543
Bukidnon,Baby Boomers and older,125563
Bukidnon,Generation X,218661
Bukidnon,Generation Z,255976
Bukidnon,Millennials (Gen Y),344638
Bulacan,Baby Boomers and older,307237
Bulacan,Generation X,520662
Bulacan,Generation Z,477824
Bulacan,Millennials (Gen Y),701800
Cagayan,Baby Boomers and older,131987
Cagayan,Generation X,191076
Cagayan,Generation Z,189791
Cagayan,Millennials (Gen Y),253164
Camarines Norte,Baby Boomers and older,57481
Camarines Norte,Generation X,91106
Camarines Norte,Generation Z,106795
Camarines Norte,Millennials (Gen Y),129489
Camarines Sur,Baby Boomers and older,196690
Camarines Sur,Generation X,294725
Camarines Sur,Generation Z,378314
Camarines Sur,Millennials (Gen Y),437824
Camiguin,Baby Boomers and older,11496
Camiguin,Generation X,15762
Camiguin,Generation Z,16285
Camiguin,Millennials (Gen Y),20547
Capiz,Baby Boomers and older,98228
Capiz,Generation X,126698
Capiz,Generation Z,134224
Capiz,Millennials (Gen Y),169929
Catanduanes,Baby Boomers and older,31883
Catanduanes,Generation X,43943
Catanduanes,Generation Z,58493
Catanduanes,Millennials (Gen Y),64553
Cavite,Baby Boomers and older,335174
Cavite,Generation X,587024
Cavite,Generation Z,539727
Cavite,Millennials (Gen Y),840428
Cebu,Baby Boomers and older,487932
Cebu,Generation X,765885
Cebu,Generation Z,843103
Cebu,Millennials (Gen Y),1191858
Cotabato (North Cotabato),Baby Boomers and older,109453
