municipality,province,absolute_change
ABORLAN,PALAWAN,4608.0
ABRA DE ILOG,OCCIDENTAL MINDORO,1276.0
ABUCAY,BATAAN,385.0
ABULUG,CAGAYAN,1190.0
ABUYOG,LEYTE,3757.0
ADAMS,ILOCOS NORTE,398.0
AGDANGAN,QUEZON,299.0
AGLIPAY,QUIRINO,288.0
AGNO,PANGASINAN,1281.0
AGONCILLO,BATANGAS,1306.0
AGOO,LA UNION,2521.0
AGUILAR,PANGASINAN,1993.0
AGUINALDO,IFUGAO,621.0
AGUTAYA,PALAWAN,100.0
AJUY,ILOILO,1770.0
AKBAR,BASILAN,1331.0
AL-BARKA,BASILAN,2901.0
ALABAT,QUEZON,1333.0
ALABEL,SARANGANI,2341.0
ALAMADA,COTABATO (NORTH COTABATO),3493.0
ALAMINOS,LAGUNA,2735.0
ALAMINOS CITY,PANGASINAN,5683.0
ALANGALANG,LEYTE,1908.0
ALBUERA,LEYTE,1625.0
ALBURQUERQUE,BOHOL,382.0
ALCALA,CAGAYAN,-593.0
ALCALA,PANGASINAN,1814.0
ALCANTARA,CEBU,625.0
ALCANTARA,ROMBLON,595.0
ALCOY,CEBU,1283.0
ALEGRIA,CEBU,558.0
ALEGRIA,SURIGAO DEL NORTE,2009.0
ALEOSAN,COTABATO (NORTH COTABATO),-868.0
ALFONSO,CAVITE,448.0
ALFONSO CASTANEDA,NUEVA VIZCAYA,111.0
ALFONSO LISTA (POTIA),IFUGAO,2384.0
ALIAGA,NUEVA ECIJA,5351.0
ALICIA,BOHOL,1304.0
ALICIA,ISABELA,3638.0
ALICIA,ZAMBOANGA SIBUGAY,-504.0
ALILEM,ILOCOS SUR,240.0
ALIMODIAN,ILOILO,975.0
ALITAGTAG,BATANGAS,1292.0
ALLACAPAN,CAGAYAN,-446.0
ALLEN,NORTHERN SAMAR,164.0
ALMAGRO,SAMAR (WESTERN SAMAR),-176.0
ALMERIA,BILIRAN,281.0
ALOGUINSAN,CEBU,-536.0
ALORAN,MISAMIS OCCIDENTAL,-119.0
ALTAVAS,AKLAN,545.0
ALUBIJID,MISAMIS ORIENTAL,980.0
AMADEO,CAVITE,1993.0
AMAI MANABILANG (BUMBARAN),LANAO DEL SUR,477.0
AMBAGUIO,NUEVA VIZCAYA,621.0
AMLAN (AYUQUITAN),NEGROS ORIENTAL,1434.0
AMPATUAN,MAGUINDANAO,2428.0
AMULUNG,CAGAYAN,1398.0
ANAHAWAN,SOUTHERN LEYTE,61.0
ANAO,TARLAC,687.0
ANDA,BOHOL,504.0
ANDA,PANGASINAN,526.0
ANGADANAN,ISABELA,1491.0
ANGAT,BULACAN,1695.0
ANGELES CITY,PAMPANGA,7045.0
ANGONO,RIZAL,-5901.0
ANILAO,ILOILO,716.0
ANINI-Y,ANTIQUE,684.0
ANTEQUERA,BOHOL,414.0
ANTIPAS,COTABATO (NORTH COTABATO),-26.0
APALIT,PAMPANGA,4289.0
APARRI,CAGAYAN,2052.0
ARACELI,PALAWAN,760.0
ARAKAN,COTABATO (NORTH COTABATO),2196.0
ARAYAT,PAMPANGA,718.0
ARGAO,CEBU,6052.0
ARINGAY,LA UNION,2090.0
ARITAO,NUEVA VIZCAYA,17.0
AROROY,MASBATE,2416.0
ARTECHE,EASTERN SAMAR,-659.0
ASINGAN,PANGASINAN,1842.0
ASIPULO,IFUGAO,446.0
ASTURIAS,CEBU,1243.0
ASUNCION (SAUG),DAVAO (DAVAO DEL NORTE),4888.0
ATIMONAN,QUEZON,2989.0
ATOK,BENGUET,453.0
AURORA,ISABELA,746.0
AURORA,ZAMBOANGA DEL SUR,2168.0
AYUNGON,NEGROS ORIENTAL,1293.0
BAAO,CAMARINES SUR,3167.0
BABATNGON,LEYTE,877.0
BACACAY,ALBAY,570.0
BACARRA,ILOCOS NORTE,852.0
BACLAYON,BOHOL,406.0
BACNOTAN,LA UNION,665.0
BACO,ORIENTAL MINDORO,2536.0
BACOLOD,LANAO DEL NORTE,615.0
BACOLOD CITY,NEGROS OCCIDENTAL,14587.0
BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,1424.0
BACOLOR,PAMPANGA,564.0
BACONG,NEGROS ORIENTAL,2913.0
BACOOR CITY,CAVITE,-8588.0
BACUAG,SURIGAO DEL NORTE,139.0
BACUNGAN (LEON T. POSTIGO),ZAMBOANGA DEL NORTE,705.0
BADIAN,CEBU,1238.0
BADIANGAN,ILOILO,-154.0
BADOC,ILOCOS NORTE,371.0
BAGABAG,NUEVA VIZCAYA,1562.0
BAGAC,BATAAN,38.0
BAGAMANOC,CATANDUANES,-374.0
BAGANGA,DAVAO ORIENTAL,2115.0
BAGGAO,CAGAYAN,1005.0
BAGO CITY,NEGROS OCCIDENTAL,-569.0
BAGUIO CITY,BENGUET,4093.0
BAGULIN,LA UNION,564.0
BAGUMBAYAN,SULTAN KUDARAT,1286.0
BAIS CITY,NEGROS ORIENTAL,6105.0
BAKUN,BENGUET,406.0
BALABAC,PALAWAN,1316.0
BALABAGAN,LANAO DEL SUR,1964.0
BALAGTAS (BIGAA),BULACAN,2837.0
BALAMBAN,CEBU,739.0
BALANGA  CITY,BATAAN,-1298.0
BALANGIGA,EASTERN SAMAR,116.0
BALANGKAYAN,EASTERN SAMAR,120.0
BALAOAN,LA UNION,773.0
BALASAN,ILOILO,240.0
BALATAN,CAMARINES SUR,764.0
BALAYAN,BATANGAS,3314.0
BALBALAN,KALINGA,451.0
BALENO,MASBATE,-380.0
BALER,AURORA,1953.0
BALETE,AKLAN,-236.0
BALETE,BATANGAS,825.0
BALIANGAO,MISAMIS OCCIDENTAL,-469.0
