Region,Province,Municipality,Voter turnout (2019),Voter turnout (2022),Change,Percent change
BARMM,Lanao Del Sur,Kapai,"6,535","7,775","1,240",18.97
BARMM,Maguindanao Del Sur,Mangudadatu,"12,794","12,376",-418,-3.27
BARMM,Lanao Del Sur,Picong,"10,541","12,331","1,790",16.98
REGION X,Lanao Del Norte,Sultan Naga Dimaporo,"25,490","29,548","4,058",15.92
BARMM,Maguindanao Del Sur,Pandag,"12,016","7,140","-4,876",-40.58
BARMM,Tawi-Tawi,Languyan,"17,181","18,476","1,295",7.54
BARMM,Maguindanao Del Sur,Talayan,"11,011","17,402","6,391",58.04
BARMM,Lanao Del Sur,Tagoloan,"10,953","17,452","6,499",59.34
REGION X,Lanao Del Norte,Pantao Ragat,"9,116","9,849",733,8.04
BARMM,Sulu,Luuk,"18,789","24,687","5,898",31.39
BARMM,Lanao Del Sur,Poona Bayabao,"9,106","12,176","3,070",33.71
BARMM,Sulu,Maimbung,"26,634","32,541","5,907",22.18
BARMM,Lanao Del Sur,Amai Manabilang,"5,271","5,791",520,9.87
BARMM,Maguindanao Del Sur,Mamasapano,"11,092","14,920","3,828",34.51
BARMM,Maguindanao Del Norte,Datu Odin Sinsuat,"66,607","48,779","-17,828",-26.77
BARMM,Sulu,Talipao,"24,515","28,844","4,329",17.66
CAR,Abra,La Paz,"9,546","10,850","1,304",13.66
REGION X,Lanao Del Norte,Tangcal,"6,288","5,597",-691,-10.99
BARMM,Lanao Del Sur,Madamba,"7,691","9,368","1,677",21.8
BARMM,Lanao Del Sur,Taraka,"9,323","10,174",851,9.13
CAR,Kalinga,Tinglayan,"8,568","10,441","1,873",21.86
BARMM,Lanao Del Sur,Kapatagan,"9,771","12,202","2,431",24.88
CAR,Abra,Boliney,"2,725","2,775",50,1.83
BARMM,Tawi-Tawi,Panglima Sugala,"16,334","19,624","3,290",20.14
BARMM,Maguindanao Del Sur,Buluan,"22,899","25,013","2,114",9.23
CARAGA,Surigao Del Norte,Socorro,"15,031","16,089","1,058",7.04
BARMM,Maguindanao Del Sur,Datu Anggal Midtimbang,"8,793","15,324","6,531",74.27
BARMM,Tawi-Tawi,South Ubian,"11,260","13,034","1,774",15.75
CAR,Kalinga,Lubuagan,"7,044","9,464","2,420",34.36
CAR,Abra,Danglas,"2,884","3,223",339,11.75
BARMM,Basilan,Tuburan,"4,854","5,817",963,19.84
REGION VIII,Northern Samar,San Isidro,"18,758","17,320","-1,438",-7.67
REGION I,Ilocos Sur,Cabugao,"22,408","25,441","3,033",13.54
REGION VIII,Northern Samar,Biri,"7,731","8,502",771,9.97
BARMM,Sulu,Hadji Panglima Tahil,"3,666","4,958","1,292",35.24
REGION XII,Sultan Kudarat,Lutayan,"28,108","33,680","5,572",19.82
CARAGA,Agusan Del Norte,Cabadbaran City,"47,325","46,039","-1,286",-2.72
REGION XII,Cotabato (North Cotabato),Carmen,"35,154","38,061","2,907",8.27
CAR,Abra,Daguioman,"1,223","1,317",94,7.69
REGION VII,Bohol,Balilihan,"11,836","13,429","1,593",13.46
BARMM,Maguindanao Del Norte,Kabuntalan,"9,321","11,694","2,373",25.46
REGION I,Ilocos Sur,Sugpon,"2,294","2,433",139,6.06
