Region,Province,Municipality,2019 voters,2022 voters,2025 voters,Change from 2022 to 2025,Percentage change from 2022 to 2025,Change from 2019 to 2025,Percentage change from 2019 to 2025
CAR,Abra,Bangued,"32,247","34,570","35,227",657,1.9,"2,980",9.24
CAR,Abra,Boliney,"2,965","3,025","3,011",-14,-0.46,46,1.55
CAR,Abra,Bucay,"12,861","13,026","14,842","1,816",13.94,"1,981",15.4
CAR,Abra,Bucloc,"2,014","2,030","2,064",34,1.67,50,2.48
CAR,Abra,Daguioman,"1,391","1,484","1,454",-30,-2.02,63,4.53
CAR,Abra,Danglas,"3,231","3,502","3,740",238,6.8,509,15.75
CAR,Abra,Dolores,"8,365","8,765","9,461",696,7.94,"1,096",13.1
CAR,Abra,La Paz,"10,168","11,146","11,500",354,3.18,"1,332",13.1
CAR,Abra,Lacub,"2,956","3,047","3,819",772,25.34,863,29.19
CAR,Abra,Lagangilang,"10,001","10,614","11,101",487,4.59,"1,100",11
CAR,Abra,Lagayan,"3,144","3,453","3,510",57,1.65,366,11.64
CAR,Abra,Langiden,"2,922","2,815","2,750",-65,-2.31,-172,-5.89
CAR,Abra,Licuan-Baay,"4,385","4,292","4,420",128,2.98,35,0.8
CAR,Abra,Luba,"4,898","4,780","4,928",148,3.1,30,0.61
CAR,Abra,Malibcong,"3,042","3,084","3,113",29,0.94,71,2.33
CAR,Abra,Manabo,"8,167","8,325","8,077",-248,-2.98,-90,-1.1
CAR,Abra,Penarrubia,"5,063","5,044","5,145",101,2,82,1.62
CAR,Abra,Pidigan,"9,266","9,187","9,613",426,4.64,347,3.74
CAR,Abra,Pilar,"7,628","7,796","8,086",290,3.72,458,6
CAR,Abra,Sallapadan,"5,198","5,174","5,503",329,6.36,305,5.87
CAR,Abra,San Isidro,"3,326","3,339","3,461",122,3.65,135,4.06
CAR,Abra,San Juan,"7,735","7,790","7,750",-40,-0.51,15,0.19
CAR,Abra,San Quintin,"4,518","4,411","4,582",171,3.88,64,1.42
CAR,Abra,Tayum,"10,465","10,571","10,468",-103,-0.97,3,0.03
CAR,Abra,Tineg,"3,131","3,169","3,074",-95,-3,-57,-1.82
CAR,Abra,Tubo,"3,601","3,793","3,956",163,4.3,355,9.86
CAR,Abra,Villaviciosa,"4,370","4,464","4,302",-162,-3.63,-68,-1.56
CARAGA,Agusan Del Norte,Buenavista,"45,888","52,635","52,245",-390,-0.74,"6,357",13.85
CARAGA,Agusan Del Norte,Butuan City,"218,828","225,895","220,694","-5,201",-2.3,"1,866",0.85
CARAGA,Agusan Del Norte,Cabadbaran City,"53,765","56,968","54,597","-2,371",-4.16,832,1.55
CARAGA,Agusan Del Norte,Carmen,"14,792","15,301","15,408",107,0.7,616,4.16
CARAGA,Agusan Del Norte,Jabonga,"17,138","17,083","17,167",84,0.49,29,0.17
CARAGA,Agusan Del Norte,Kitcharao,"13,967","14,542","14,096",-446,-3.07,129,0.92
